,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,-log10(padj),expression
hsa-miR-9-3p,-1.16162206097676,11.5837629121608,-2.61554711096019,0.011026433675065,0.023472352674578,-3.52014759355859,-2.54185997751563,1.6294433781313111,P.adj < 0.05 & log2FC < -1
hsa-let-7a-3p,-1.12428283983451,7.71794378871471,-2.61420996601238,0.0110655376894439,0.023472352674578,-3.50796719439575,-2.54062232784438,1.6294433781313111,P.adj < 0.05 & log2FC < -1
hsa-miR-127-5p,1.01152242952353,7.05568786177466,2.61295508197521,0.0111940086751157,0.0235663340528751,-3.52345992276913,2.53658336609318,1.6277079704851536,P.adj < 0.05 & log2FC > 1
hsa-miR-432-5p,1.3408348718404,7.21381943510512,2.573211713162,0.0125731507685375,0.0262722553372426,-3.60703632743239,2.49563611251196,1.5805026436784742,P.adj < 0.05 & log2FC > 1
hsa-miR-186-5p,-0.888247306529681,9.53486898866463,-2.55191077556344,0.0130331840421763,0.0270317891245138,-3.58518914843262,-2.48286125395724,1.5681252091592197,P.adj < 0.05
hsa-miR-3613-5p,-1.27278278828161,6.68668838973067,-2.52246074327144,0.0142650185289679,0.029369155794934,-3.71669856705438,-2.45051962725331,1.5321085369253127,P.adj < 0.05 & log2FC < -1
hsa-miR-1255b-5p,-2.08282548850672,7.57044098770385,-2.51183287494275,0.014730781929606,0.0301067075933552,-3.7605310878956,-2.43893096881925,1.521336735427765,P.adj < 0.05 & log2FC < -1
hsa-miR-374a-5p,-0.856406048311975,10.4929057890431,-2.50359324559458,0.014958128270482,0.030193357451202,-3.68408190741983,-2.43339124405915,1.5200885914665716,P.adj < 0.05
hsa-miR-126-3p,1.13590801077387,9.64643391648477,2.49791774781972,0.0149888453061324,0.030193357451202,-3.73591900731664,2.43264846290994,1.5200885914665716,P.adj < 0.05 & log2FC > 1
hsa-miR-4449,-1.17796800084517,8.36499901131491,-2.47313817886652,0.0163636221892674,0.0327272443785347,-3.7766686356807,-2.40070276517584,1.485090560581949,P.adj < 0.05 & log2FC < -1
hsa-miR-5684,-2.19564158288333,8.464191356834,-2.46691087130069,0.016593990694608,0.0329526056346825,-3.84124652771994,-2.39558225103737,1.482110239096565,P.adj < 0.05 & log2FC < -1
hsa-miR-619-5p,-1.89375355069437,15.2579911986513,-2.46152614405519,0.0167639711275466,0.0329786738044297,-3.86855959405711,-2.39184388817111,1.4817668129425214,P.adj < 0.05 & log2FC < -1
hsa-miR-103a-2-5p,1.08860835386832,6.9405408490379,2.454951501242,0.0168426798358337,0.0329786738044297,-3.89459449212924,2.3901241164821,1.4817668129425214,P.adj < 0.05 & log2FC > 1
hsa-miR-7851-3p,-1.65206116052086,6.78975429167981,-2.4427823771939,0.018068247111966,0.0350288261914528,-3.87965551958572,-2.36421656414673,1.45557441555459,P.adj < 0.05 & log2FC < -1
hsa-miR-181a-5p,-0.784333016705311,13.0195846743029,-2.42920454573801,0.0181399278491452,0.0350288261914528,-3.83782313974194,-2.36274946995925,1.45557441555459,P.adj < 0.05
hsa-miR-190a-3p,-1.22450125756991,7.69410411071346,-2.39817662348921,0.0193083005083802,0.0370296174133319,-3.95494166725963,-2.33952458915825,1.4314507750188035,P.adj < 0.05 & log2FC < -1
hsa-miR-769-5p,1.058618893837,8.62028840134935,2.39380691866918,0.019520755166712,0.0371180983211669,-4.00051119045703,2.33543409252425,1.4304142821778432,P.adj < 0.05 & log2FC > 1
hsa-miR-376c-3p,0.971389142774109,8.41234104946476,2.39710691263532,0.0196195662554739,0.0371180983211669,-3.96461436959943,2.33354486918519,1.4304142821778432,P.adj < 0.05
hsa-let-7g-5p,0.55470782045546,13.9632702349251,2.38202091225078,0.0201042400117937,0.0377797798879345,-3.98556631037683,2.32439674225682,1.422740576687714,P.adj < 0.05
hsa-miR-1260b,-1.20202887040545,9.03488718222656,-2.36416287128039,0.0215094129053343,0.0401509040899573,-3.96547666460025,-2.29892122518283,1.3963046711360112,P.adj < 0.05 & log2FC < -1
hsa-miR-335-5p,1.05201156404482,10.8344013168344,2.35133210369427,0.0216972091202554,0.0402332354547782,-3.97635778043805,2.29562714854861,1.3954150411633595,P.adj < 0.05 & log2FC > 1
