"","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std"
"hsa-miR-135a-5p",-0.681322863531919,8.23011460402625,-1.37156976241127,0.174157113540198,0.450033134772457,-5.80834896892631,-1.35896678681398
"hsa-miR-138-5p",-0.553122235251339,9.96469213928734,-1.36434806385671,0.176321087256346,0.450033134772457,-5.84887994878411,-1.35216953439686
"hsa-miR-125b-2-3p",0.505918520519534,6.72945329370237,1.36427352123437,0.176399389420595,0.450033134772457,-5.89816370601861,1.35192474889358
"hsa-miR-455-3p",-0.51242289489913,7.45329768765869,-1.36356779076145,0.176756605415234,0.450033134772457,-5.74869465788971,-1.35080905904574
"hsa-miR-107",-0.422268363683367,10.5691165731826,-1.35998578995386,0.177719709245699,0.450033134772457,-5.81992397926776,-1.34780935192413
"hsa-miR-1255a",-0.854488984565466,6.62601329645878,-1.34974835021945,0.181087866428614,0.450033134772457,-5.85460287597599,-1.33741299050408
"hsa-miR-30a-5p",0.55918970878739,7.81753767077373,1.34735335088927,0.181857530661192,0.450033134772457,-5.83155013236979,1.3350574915858
"hsa-miR-423-5p",0.397582732938012,11.0411388533811,1.34666410514237,0.181928288525036,0.450033134772457,-5.91499211931116,1.33484131405213
"hsa-miR-1972",-0.975838437785091,11.4528769848436,-1.32300360329124,0.189901536212155,0.463957585220843,-5.82816188599841,-1.31087044894877
"hsa-miR-99a-3p",-0.546153180723193,7.36955324544082,-1.31936374767874,0.190847801012829,0.463957585220843,-5.929148768484,-1.30807520933563
"hsa-miR-548z",-0.857062595922804,7.21828695350783,-1.30831376877105,0.194673889978703,0.46921399123072,-5.90537062617567,-1.29687589986549
"hsa-let-7i-3p",0.510795087185576,7.06401242745417,1.30343804943462,0.196349429303995,0.469241856472259,-5.90139454271813,1.2920222789315
"hsa-miR-5585-3p",-0.954945886132512,10.3608687228711,-1.28430709167115,0.202897428798935,0.474596283208991,-5.89445642524331,-1.27333997082809
"hsa-miR-223-3p",-0.615580538702567,10.6454020626003,-1.28383564129363,0.20312802647458,0.474596283208991,-5.73451577018479,-1.27269011565978
"hsa-miR-210-3p",-0.585604420419171,7.46818298400873,-1.28266045980803,0.20363883073861,0.474596283208991,-5.78936638664062,-1.27125251142306
"hsa-miR-4484",-0.644813723381865,6.86632374609009,-1.27563266963437,0.205918270436656,0.475975018550302,-5.95013322593377,-1.26486905912052
"hsa-miR-3135b",-0.74713263427373,6.59268126491984,-1.26335442254238,0.210283989588623,0.479991564964283,-5.9691229237107,-1.25278492427028
"hsa-miR-146a-5p",-0.632788208956943,8.84151792965557,-1.26134141111074,0.211060120764436,0.479991564964283,-5.86667269020862,-1.25065569646516
"hsa-miR-22-3p",-0.377345472005054,11.0002641842804,-1.25169238416451,0.214445066115362,0.481008390367655,-5.96412272676968,-1.24143508170127
"hsa-miR-324-5p",0.404107239838028,9.28945608275245,1.25069842791549,0.214918642504697,0.481008390367655,-5.86103751278687,1.24015344943932
"hsa-miR-598-3p",-0.422878263478378,8.52170276965919,-1.22591994328872,0.224266848724251,0.493317769254658,-5.86850011211246,-1.21526024666629
"hsa-miR-127-5p",-0.442063879615244,7.01503040452333,-1.22109367758608,0.225723449071856,0.493317769254658,-6.0446552181496,-1.21144879224872
"hsa-miR-663a",-0.762650938300756,8.41754623928077,-1.22083973522657,0.225908539752331,0.493317769254658,-6.0022241860591,-1.21096572845086
"hsa-let-7d-5p",0.239923735010978,12.8544784139643,1.21647434465495,0.227415992918814,0.493317769254658,-6.08535070706994,1.2070419394303
"hsa-miR-663b",-0.742237143531312,7.2044387742832,-1.2025892411438,0.232754665911394,0.501044395320711,-6.07225738742075,-1.19329294147743
"hsa-miR-1285-3p",-0.835374795643975,8.30109988371436,-1.18802574105683,0.238569160258501,0.50967047873407,-6.03421189978059,-1.17857071060313
"hsa-let-7g-5p",-0.21831144887933,13.9256385509184,-1.17831962241621,0.242196256318637,0.513528904374855,-6.11726927341494,-1.16951486350442
"hsa-miR-103a-3p",-0.288727318158445,12.1946428974027,-1.15014004697599,0.253593258988486,0.532216244055502,-6.0239234514051,-1.14166508518653
"hsa-miR-656-3p",-0.495750522617686,6.88051956420082,-1.14695272443541,0.254853155926469,0.532216244055502,-6.15800354144323,-1.13864043537783
"hsa-let-7e-5p",0.315669120612382,12.4750863622489,1.14253901282414,0.256671663799816,0.532216244055502,-6.15268898223669,1.1342930015814
"hsa-miR-432-5p",-0.542512601332147,7.15138275815769,-1.11629049431647,0.267818985712925,0.551277036284999,-6.10556762759929,-1.10809917851904
"hsa-miR-5701",-0.524374599219637,8.17503062818196,-1.10641529041656,0.271982207652062,0.5557897286803,-6.10720482220061,-1.0985091883885
