,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,-log10(padj),expression
hsa-miR-4454,-1.24831166617922,14.0363673024463,-4.1847308801572,0.0001358296479977,0.0002604952153382,0.602036199655984,-3.81564139692991,3.5842002492216576,P.adj < 0.05 & log2FC < -1
hsa-miR-7-1-3p,1.33694259304417,8.9319957912409,3.99774052564262,0.0001636915917527,0.0003117935081004,0.0073881842913916,3.76932201015759,3.5061329315638696,P.adj < 0.05 & log2FC > 1
hsa-miR-451a,-1.02683075916606,10.2951445761349,-4.11353081548097,0.0002102730881644,0.0003978139505813,-0.141176740719554,-3.70634347562071,3.4003199910601407,P.adj < 0.05 & log2FC < -1
hsa-miR-29a-3p,0.73008345866152,13.3830233883236,4.21212528146182,0.0002835204287901,0.0005327900675251,0.426863034941612,3.62990966262867,3.2734438800450536,P.adj < 0.05
hsa-miR-625-3p,-1.43487548507397,6.94020652021855,-3.98018348130956,0.0002899476960857,0.0005412356993601,-0.186997024834012,-3.62411935356497,3.2666135655042514,P.adj < 0.05 & log2FC < -1
hsa-miR-664a-3p,-0.886058531365782,10.5750362718128,-3.82792218781419,0.0004004822001259,0.0007426160002335,-0.639932727759796,-3.53976583808561,3.129235697800058,P.adj < 0.05
hsa-miR-33a-5p,1.12304478783165,9.97570488942271,3.80573798406317,0.0004806473405819,0.0008854029958087,-0.701817926218901,3.49131603572913,3.052859012895926,P.adj < 0.05 & log2FC > 1
hsa-miR-99b-5p,0.822725725820874,11.274641369571,3.75503383529036,0.0005106203702684,0.0009344686514716,-0.78242287813192,3.47512236607636,3.029435263275261,P.adj < 0.05
hsa-miR-361-5p,-0.893569551551369,9.72926624751712,-3.73095100879993,0.0005558508625736,0.0010106379319521,-0.861311489134783,-3.45228956423044,2.9954044055552087,P.adj < 0.05
hsa-miR-126-3p,1.13612729321089,9.64643391648477,3.62495480528757,0.0005625717842655,0.0010162587070603,-1.17042538361868,3.4490455552755,2.992995720451216,P.adj < 0.05 & log2FC > 1
hsa-miR-12136,-1.24716605233982,9.00462761483023,-3.6235468446095,0.0006825615511201,0.0012251104763695,-1.19269660337689,-3.39648958397593,2.9118247463081963,P.adj < 0.05 & log2FC < -1
hsa-miR-708-5p,1.17218701129776,9.38510484088528,3.38249878142536,0.001210818731211,0.0021551412121138,-1.89418525080703,3.23631927054998,2.666524268133152,P.adj < 0.05 & log2FC > 1
hsa-miR-574-5p,-1.88207830155307,8.40885781654353,-3.45430533685157,0.0012161153982642,0.0021551412121138,-1.69091789702433,-3.23507322083021,2.666524268133152,P.adj < 0.05 & log2FC < -1
hsa-miR-423-3p,-0.958259029633869,8.48757047656968,-3.290975043217,0.001972255690629,0.0034731546753216,-2.2419714941591,-3.09437869312791,2.459275875156603,P.adj < 0.05
hsa-miR-10401-3p,-1.62108190481431,6.78269542832881,-3.24608612880818,0.0022350463028638,0.0039113310300116,-2.30035013199164,-3.05707998106179,2.407675426588509,P.adj < 0.05 & log2FC < -1
hsa-miR-455-3p,0.904660586259563,7.53595504935415,3.25766935367486,0.0022840935564624,0.0039723366199346,-2.35677008294639,3.05056746922256,2.400953956051359,P.adj < 0.05
hsa-miR-30a-3p,-1.19739582319348,7.91944675230231,-3.16216526665441,0.0023651502440251,0.0040820449102225,-2.5014025154165,-3.04008037055146,2.389122221532119,P.adj < 0.05 & log2FC < -1
hsa-miR-99a-5p,0.711106965319944,11.2782517042554,3.24746787007891,0.0023763332870224,0.0040820449102225,-2.3323696753251,3.03865943045887,2.389122221532119,P.adj < 0.05
hsa-miR-29b-3p,0.53041308919224,14.6289424095681,3.16532408786526,0.0034579059963185,0.005903741944934,-2.68581279198137,2.92379661604185,2.2288726339662666,P.adj < 0.05
hsa-miR-31-3p,-1.04828788664911,7.19901211902946,-2.9554101961585,0.0043242112294736,0.0073380554197128,-3.07545294206569,-2.85348835796217,2.13441901261488,P.adj < 0.05 & log2FC < -1
hsa-miR-99a-3p,0.98923193834778,7.46446013722723,2.9813590609339,0.0045073422821793,0.0076027460181339,-2.99805204506006,2.84028374047333,2.1190295175712963,P.adj < 0.05
hsa-let-7d-3p,-0.639944174637701,9.25545297358385,-2.93424065618234,0.0045932943171803,0.0077013317892844,-3.1480747088283,-2.83425305441886,2.1134341659023126,P.adj < 0.05
hsa-miR-340-3p,-0.923125943856625,7.25475284127252,-2.98307081863164,0.0048952330333268,0.0081587217222113,-3.05068397784757,-2.81384825395274,2.088377879539892,P.adj < 0.05
hsa-let-7g-5p,-0.445979111023931,13.9632702349251,-2.88196096298134,0.0053256245533388,0.0088235199700288,-3.2941967698086,-2.78664828883123,2.0543581270454725,P.adj < 0.05
hsa-miR-30c-5p,-0.644305174662984,9.85899051024604,-2.84581061569681,0.0065373681419712,0.0107674298808938,-3.42873209626493,-2.7195354790998,1.9678879477464677,P.adj < 0.05
hsa-miR-130b-3p,-0.872691928978712,7.71630470196691,-2.85018701993644,0.0068282329483344,0.0111807323130622,-3.38529161336793,-2.70510730002806,1.9515297501967983,P.adj < 0.05
